U10         SSVF
8.3036     0.00023639        
9.5089     0.00037546        
10.781     0.00057936        
12.121     0.00089399        
13.326     0.0013795       
14.665     0.0019517        
16.138     0.0028424        
17.478     0.004261       
18.951     0.0062055        
20.29       0.0087798       
21.629     0.012786        
23.371     0.019168       
24.71       0.027119        
26.317     0.036213        
27.656     0.048357        
